Texto ClaroF	Texto Cifrado||32A9C85C28A12A006CCC7AD66494AF67 

5D87C6C77D0B62C9	921C743F54F122FF
7682BA4100923E30	042461856A8ED89B
0130C19B27F6A7B9	5F0B7F3EEF4244DA
327D772E4B1B86E7	5A48A789D9CBAD6E
7C35CE3630757AEF	5ABF2469B79872BD
70D9F9C3769CAB16	15D04BEE8F3278ED
27A46E301C3E25A5	8D1F150F995512A6
3419821F76ADDBF1	D94DCC3894214260
1042E816189304B1	34B8973925328F65
5C190D1170A90653	7C15ECC3CCBC860A
68DE6CED62C17164	DE6D6CF7A751279C
09FB8EE36261DE33	7DE65374A2117B6C
074318BB460CA0B6	65295F9121CBF185
670B30A70FA758CB	10EB13F5C0EA9859
33B67F741269B332	F4881F825E32CEE0
5973A10F36530DAA	C2778901D495719D
06A62FC30889AE9E	3C071CE299FDE4C1
07270B731460AEB0	EA8FBFB30B4710BE
576CAF432066848C	059860C021C2B34E
2A8813F24BD58AAE	5B78B500066D1C0E
3083CC671CE09713	C2A6D45FBA2EFFEA
5CDE6F340F56EE8E	096BA743D01CB1E9
1447B4806F9B49E6	21DA55EC9F5EDE0B
3C10D44874E0E1C6	FBF863154EE9E45D
5806CA1C25BF216A	BCA930F02D85FCFB
272AC9826A1389E4	17836CD09FFCF576
28C20E245C2E7263	4D39AD272A1689D9
6D57F0DC28863399	C1ADE7FEDB73B940
02A596984541D683	521AEE9C5E4E609B
656A55FA2832C41A	BFC94A098625E52D
1CE89B946B3E205F	E0EDEAEADA5073CA
3BBF73FA165740BB	417FFE775432F5E7
3A5AC0721C109A4C	9AD5983D66544DC4
060201F96DCF8583	35AD7B95DFD25FAE
534693C73E901887	413FFC0F77B5F9D0
663A6727044A65E0	634CEC11CBFAAECB
306657530EEF22F8	D60C1FCDE178213D
75E0CF707A52FE85	5900D8D6E711EB19
5EC40C801910D81B	BC5AB7981BA3183F
20DBE17843AF9E22	C7D5FCCE2AA20C9E
3EB6ECE55B7ACE8D	7750E603F79880BA
5B8EB9E6774ED9FF	F9D955217561522B
59CA318A697A8913	3FD6D6923C1F5EB9
6BBD747E632B3374	BB4245A87712DF17
293F378975571886	E11D57D0DFBFD500
290B419921FFB8DC	E42E84E86866CD55
1BC184F43DFFBD68	FFC5130AD673ADB2
60EC16A42BC29AB2	6FC2706638DB4475
753A328F3FCD8669	5052EB8C38339679
4E3378381519CCA4	6C91A4DC6DF0B732
50CA2DCE098558D2	967900FF9329DFE2
118A47E00D74CC1F	9CE067D47633775D
6F050E1F34E24E2A	E8A45F8D4EF2C6AD
7579C2850CD1E604	F34090966A552396
2854172F28BE2358	79ED9306A4A2DFCE
5B027B4D7FED2AE8	5EFABC7746B41C24
2B9C26F518C1B531	4CF72924CAAF7CAC
555EB0A93BA05308	7465C92E0523E5E9
1AAB50CD6545D068	CA5C2D4B764148BB
4A758FC96C32FB4F	1E27596702CC23A3
071137087B33F1D7	D80A7EDA6B94858F
0F4A99726AA01335	0ED5F74DFCCDD4B6
334D334311608E05	0153B4A58A743479
5A0BF32C4689FBE3	AF697DFB8B555247
0CF818437400DD5B	59C712350DA2CF8B
64C4BCDC304B4333	38C1805578920474
1D28E20A67100D7A	AA5D94AE9AE76557
4EE4F9721AB4D3D5	9B52922E8BC5A97E
55BF52A503CAFA9E	3BA3DA649C6BB5CF
030B9D046F71732B	0B803F755908ED95
01404536227FDCDE	B4E62D83A488F1C7
787D84837886F241	FA416A875D846FFE
638AC7382C1D6096	77B3E62FC1D12D4C
3CB02E7A52BB6AB6	C255C100EABE57B6
0E5AFD2977A2961B	A3B21891075867A2
532D03F9305FFB18	2F4728CEFAAF48B4
6D5DFD7735ABC7B9	E229881A9A4BCDBB
20C55E367DAC3C08	5AC615330466DD02
369971AD13F630DC	1FFB18BCCBCE4DAB
0801C5C12C5E0602	201D13B8E1BAA925
50DC840F3D621E42	4ABA8584D3D1CDFA
74B09E8977787038	08746E35ADD95B48
040FA9CF2055571E	A4DFE822B0BB8AA3
42CA83277D6897B2	80E9BFD18A3B4ABB
5DBF677041201A25	0F163B13D791141A
2294948A48A401C2	9369699344900FBB
076F8CD02C85AF80	232C4AE967E2ABFA
7CC513556E787171	B750ED224C948E6E
255FEA603C1457CB	28854296925918CD
5B8FEF3D46A3BCC1	AE78D52DB985B211
27BD47227B891D8F	06438C0A8D421301
66F3D6A512911F71	293A6B62B56D76A0
75A73D3C36A56A7C	D931FEB61A808B81
25F20EEB36B179C3	8971312983489937
3DB10D4232DD87B2	D960616C50F88073
6DF7D13428C7E553	BE27FCDEA25EB6BF
5BA0C10F16E2EEC8	983B5E3AC688F2A5
0CAA983513EEC612	F79B4EBC32F0ED51
210DD1F71253C015	EF6B0A59952363E2
3867AC191E53BA3D	BB6544242F279380
0AE80A5907FF5EA7	473058B2647B4458
0E9F2A0B73813FAC	65D7738F1D0F7539
2A7B70720E136228	C100649E578D0A92
1A91375033C672D0	AF637B9378577CD9
299BD03E3484ABC9	ABA9BE6E3BFD5094
722A340E30BFBDB0	4C9FE7E6EBA3F3BF
7C3E86D06D050169	A20B7E951168989C
639FCC6910253498	1723B8921F44312E
7A9FEF6F1A209F4E	C0397A305EA33455
53BAC7480B7172EA	BC4F77100CA3A2EA
452F66842AF38798	4660ED357B7825B0
5A4B222F7AB169F8	43A953519AE202E5
15A457B6587A78D3	7D28B27CA4C4F32C
5092920646B0F13D	A4189959CC646882
0AAE000D25855AF5	6B3CF7E273867940
56169E1166E39A3E	E436D72BC0C57580
68A391374A92E78C	828B729C287B29C4
729FBE935598DFAF	C74A296C43BA91B0
278586102F2498B5	EB3A9517F20DDF4E
0BA5AB41298E3E60	314B38F751ABF038
39A125F002C1CD1F	102A0AECA6DB1FAC
0181AFA36931F71A	EACCA03A64AB6B07
4F5601EA1797D257	800A4B38333DBDBE
707259DA636930E2	B392693A0174DF17
0F08786B7519C082	CA658AAE8679BAEF
6DADD2DD2EEEE36C	3456D5FF356FD6D4
4594DF8630DEFA1A	EB3C1B85F2F23075
7EF5DA063EBD0108	67108A1BFE0D2DED
6A8ED465471A698A	D667535813B300D0
1707077E4E7CED01	F4E0F73C94751644
6BAC04E86A765291	6503E69A44039D4F
7E26E4312B4F8DAB	8604E636AD31E4EC
73DDEBC36EA18AA2	AFEB2C35BDEB1DA2
2F94CA6C517590DB	BE17D48AC9F97419
7D7943A424480457	1A0F5DA2F529AE50
7414FE5C0E47858E	0664B6B321938904
799134F42C2BBD86	8E9545634010F50E
6BA7BF1151F12C4E	F64C576A7B465EC5
3093DEE93C0FABE9	33F5E2FA544354A4
28DF6CCD64601BB1	7AD7A9A8CF837634
61BA34F207EA2DFE	A147A9D6DF91050A
1F7182C1553F5D07	7E13EDA59004D9B3
32F4A24A5ACAC268	4014F538318DBA1F
35A1686977CDE100	CB7E84569FBF7EB0
6D6F0472138D107F	60F2CD69F6DC6415
12360BE01A45A877	5840469F7C373D7C
53372A1A4AAD3BA4	72A6CE363A7C37A5
3326B2493182F0DB	E276AF67B0B42D5F
0B92D342546B97FD	AC17B26762697999
63C78E57425224EE	01BDC113B6515093
1EF6A746535FF48B	D0F8FE32CBD051D0
40AFFC7061E63E3D	BB503C9B741F01D6
5300490137B90B39	A4945648D51C6887
558FE7C35AB8DF17	6340F9A720C3B029
1F3E8D8943BE2D65	C504B062F855AB6C
7A9664A127A8C4E7	BB9EBCEC3CC89F64
39172E0820CF2C80	E254C3099A02EF5B
017298540A6EB38A	5B3A4A77C8DD1B56
69CD2E5F1D9F953D	08C762D25906263D
57FEE6FC1FEED786	FE10983BDD07B2E0
7987AECA3AE48E1B	8D1E9272B8029C42
732DACD13BAD086A	920E0B6D107AB3AC
5D0385C11242719C	2C9DBA86ABC6FBCE
4830C2217919298D	4735F347DCA1C6D4
62F726174FE5E2C3	573217FD9DB00DF9
7D8A992F164F1D0D	87D94631BAF238A1
23FC4BEC08DC8569	73863BD1E599E892
45BAB50A64C3C749	9D94EADE7919E1E5
7150BD4D6BBC4459	3DB37D296129352D
152B6651544A5AB2	C3B94213F76CB96F
5D8887592E6E1408	5CC2A716D3E41C6E
3CE531086AF62373	FDC3EAC32968B13A
459189E155F33675	9438E6124110291F
527C676865690726	F3D32FC2BD2F9E8E
525483CD2A9931F5	8F6E435A519E5ED9
2F9EE1AC67F1FBA0	CB9F30848D8A7D60
3FBEFAB0133C5982	3DE6BA3B04E221CC
5F186FAB3D4B7453	5580D5CD8D6CA288
24C2149541D5550D	AA1E17D770F31F00
1CC2EA3F40A0DCD9	E58CDDD76E3FF65C
01034BB57F5F5897	1A98F30D4B420A36
4CB162D511CFB549	233EF7191632F0F4
5B86D4C170F9F9D8	BCD7C4447C36E93A
2B820DDA675B7986	B1B1A42909891592
2687816D0A422EDE	7CCDA74A551B01B2
7F12F61435D9DC39	ED2C1D1314EDA6BE
72093DCD3CB89838	804EF2B944638520
7B11A3AC4310B053	2356EBAE492AE668
7CA83B8A08DD20F6	CC2F999E38344CC8
6D9EFB0560723D7C	5A5FA7C7EDA8B7DF
6C22C95B5FD1ACD3	6674CDC1174EF11C
3EA981CA6A8814E9	370B74B3D914384F
0C1503A337A1C887	5F562E6B2FCF71FF
5E7433991EE7B241	1417D39D981B4A34
7D67D9402CE83912	5DA259BF0792409C
41FAE3C63E7FFE01	2E86D9EC3E0CAA06
44FD13B54318F375	F4CE76CE89A627A1
