Texto ClaroF	Texto Cifrado||21C00B834733D6C41C59026117AB3CD1 

6B25C97A7DCE9F8A	14B4201A4AEEDF8D
084C5D8D4D91D83C	610118C0177331CB
220B72ED1DA63711	31EB37120FBA8CD4
0B694C4C2E10176E	918B908734F6B132
22724E627E781598	813BCB84B34BFA49
7DD1EF0561A371CB	0C3F20EAB3D43045
3183F8814F2FF68C	E1F94AFFF496684D
55E389F14D755944	B10A56A1CC018CF1
5337A7166ABAC008	E24F401C4A30CB2D
0A9583F65E0A90E7	BEA4BC0EA5E3251E
07AF5DED0A3F768C	31F3B46BFCC533CD
4C7FE69560FB676F	D0FFB939BE4C0508
1943DA2735A74366	004FC64ADE26DF67
7839F90E260E43CC	86BFB632DD50B4B4
72851998005384E5	71C9EF3E342297E1
6B39D68D2234F9FA	38607C908FCE7797
44079DA14FFDD7EB	CA22BBB51B20B25C
226AAE5409DB1E73	734C737C65C195EB
10AC1513119B9AF2	E41632A6D2D609EA
7ED98EE57D349D72	24521D0C387325CF
094CE79617F82D9F	59EBC1B17144EA64
267B2E04610A1C58	AD978EB80413392E
5ECB072D63444BF9	7BFDFEAF40CB05F8
18D7FB590BB69CCD	4C2E40D83B0AB874
01F05CBD4B587D49	7936EA7CEF35B779
1E896A444F9FA605	DE6711DDB06A84FD
7A4CBB19438FA509	6C79CC5635DB3006
0B9C148634076F5E	047A0ED00A8EDA0D
54209F0129A725CD	878E9728D50AFB57
1CA2CB1803C3A358	D7F37AE4F7943FEC
2118E8566A3D7713	A87F365968535873
6954B6E238B2E574	9C5206E300302279
68F63FC07ED38C15	C1CFF9F9C3B9FAF8
7291F7BF4D20575C	C3A080E7779F0205
06478093404A361D	B81C6B84156AB5CE
4826CAE46AD263BD	D58CBEA88389DA03
1A92441578B3CC53	0B8127AEDE88667B
642B9B0D6AD0A5DB	F173C8620DD8B769
283903A6371E9BEB	364C17DA83E32808
3A8E7D9260D61A46	D4A5391C6AF65AB3
08571B550EC36DBA	EEFD0DB6AD01ED4A
4058D5E808439359	8550954751832C03
0C7EBC4C547C27FC	DF654F41C61381BC
23253CB961B5A7B5	ABDB6075EECD6C00
5D158E30322A210E	39DC2F98AD9C6E0B
6BE037DC4D7383D8	C6ADFE4C4BB0B7BF
5AD501A1565E1F9D	95A65D66AF997FFF
3D6DA8B76A5FA5E2	C3194E829BD8CBE1
2D83CEFD288A5B63	52600C2DD17AD948
1375D5601D0B9B9B	149CB927E9AC2046
6514EC024092AB26	222DE123288190BD
5D226CE87F1C231C	A31F833292E0149C
104544763391A752	D40906CC647411F5
1F8012F1115B9C5F	FED487BE9C683A97
157729E0425E3C22	03E7DABD3161BE03
38BDFE38417D2BA2	E7D79F1142B13E14
00BBBA4524C20863	E7FCAEED29BF0442
3EB4AE6F48281992	4A1FCEE798269CCB
40A6E5400D14EDE9	6085D8C2CDB9A556
590F62B40119451A	4447A5D09C7A7E31
2207AE862652F0DE	2C0ACC44349F014D
0F43927A1D458F6A	14BD9AB9DFDC1F8F
41CA8729576FB67D	66BD9E3BED968EA4
6735F56307816B85	E237BA30A888D7AF
41B9EC9C155D177A	C5959A0B210570EE
12B0558B76C02242	E68CB91995FF25FC
400957F6256DF852	336EFC24C115FE20
56C9E2B06041BD53	E86115C19A5E51C7
7BF4C58302D35B09	24A9DED0BF9A9738
01FDAD52357DE383	E4F288C12BF7409F
5BE3C8E4479A1FDD	93A6FFEBC2F92C42
57A20AE44F792BAE	14EFCE090F994A20
1C22D54532DFB371	F289912BFDEC4A20
7C7DD9CE2A66A33C	C4B1023942B83E1D
3866CDE365570F02	7747CA070426A932
369A8048595C12F9	408681423D2FAF9A
2BE1C74473E157DD	3301808BF7EC115D
4F4FA99A7707E623	1D3CD134CACF6239
279640E2797DC9BB	0C6C6238CB302BAD
3147524D416C5681	DF60ED1EB2C64D30
2FA350B50B07B382	6C2BCBADD98216FB
269A2176510ADDC6	BB2DBEA4DCE05C00
20661BBB0FA6A29B	16AB3E7A3B356791
04FD76241C57380B	1AA9239782E25B77
222068B67DBA963A	CFDB345BE7EF86B0
64DCFA5267B65139	379656FEC0CA9EB7
728EAA607453BF61	B12FF696F15F666C
2639B4F116964DD2	9E3B5B0B3777BE4E
65CF219301A56E1D	4A5A2A443239799C
13E032C36424AA66	3FE29CAE415734F6
232F41E7738FB6BC	24DB5536255E4310
60262BE96A0CFF4F	E07673AEADD01F97
7B4DD1ED32115DD9	55A73120D15C26BB
12286B3D1B987B1B	3CC13EB8469D8E71
37BA37C422A34171	FB20A13A6B628E99
0C1D737B61889673	9BE6ED635DDC6224
4E4D8A0B44A20056	0EAF1635F82E6033
67C4314D0180EB74	490DAB3E55062410
36E20D7132E091DD	0CFE070892007106
35885E430BE49C2A	430F7EA8C1BA4870
4DC88F7F2A4502BE	94B2454C7409299D
18B71DA01DFA000D	0E29F0F1687FF790
081964DB3B2C6A04	4D01D7455888D7C8
60E44AF52BF54C85	C48FDFBA46536941
7572C64E4239671F	61D602A565472328
46A1463006071D8A	A80CC300CD91C9BB
3D24521D1B8B0D47	68C6C9FAD0559FD9
4614BE717BE310A8	D50E319C7C0D29D1
785AC5220F4478E9	752C575C766DAFA8
585E10D307A2B9F8	D19F84F44F6251EC
4C5F4CB204A4614A	D5E44FA01580CBC0
43EF43A71142ABC9	211C455A9B3DA5B2
301C21F906FA7B1C	A35A050313A89BF0
26A86ED87C053ABB	D9E372B658F5D483
3B530A9948DCE13C	3D340314764374C1
1D474F8334B53079	146D88E9FE8F6BC4
638172F747A2E92A	9AC585C4346FB24D
1879E9246BB94709	B6AF05513A88E389
50E6D71F63355DB7	6F1B87517B9BCD27
449BCC43507F65E5	D35334018EC29F9F
5BFAC6AC2D097561	CD867392AE741C08
47F94A603F82098A	D5700AD05E2AA059
72406398614ACAC1	F611428B57C91C71
754576CD237AC8E1	45D6ECCFA78B26CF
521A3DF938DAD08B	82A03138B62651D5
25B172D624EA52EF	20D15256B3C17F9C
13EADBD820074C1F	E828F567266BFFAC
3F1697A6643E33A5	6C99B8925873E704
2FB0C90D7F5F8CF0	70B1D80EB20EA607
5A1E21E470432DF4	BB5BDF410646E334
4A7E27C02063D475	1BCF115A9C28FABE
7A115DEF0A2E3485	A555137439218665
5F7A0CFB45EA63B5	8C9EBF57166D5FBF
1F3823EF1EBF2FEC	18A4979426CD3B4D
19E33EB9162AF0F6	91CB9CC02B5332A5
5D31B1D869930BB4	54EBDE67EBFA36E9
34E58C924A6FE05F	9E83AB3F6F27A8E2
76F3A326755C50CC	A5BC0EB29C8FC978
7FBCBD45402E3E87	33AFC050E028C642
1C0B31FC22FEA5C6	F4E2E56A09CDFBA4
7C357C1C1B6751F9	A5DA6E0E3C9B66C0
1C36C07D4E975D03	CA8A5D200057EA05
335B98444269B2B3	1518D6CA094BEEB8
295327D5125C2625	DA2A6DCDEB3ECEAD
5FCC508D5EBC8A1D	1B21661ECE707DB4
2C0FA682377CB767	30DFB32E33EDDB33
5CECE7A6455C72F3	3A3753EAC438EEC5
387ED3180E54E9A2	24A38C01CAEF889C
68B692072A2D3F46	AD2899A9E2C34D53
0095224C3EFEABE0	864C4285FD41B44A
41C61F6F3639D225	5B8FE2C76C519BDB
0E1396F3281B32BD	3B68C26F3ADECA5A
11A02ADD2A5E1C35	5952C77586D907C8
088DF14E1EDD3C45	033BABD90582BC91
4E9FE5D763AAAE94	6679D68D0142DF86
5AABA9AA3C100667	CC3F50CED045F8F8
401472FF7E89E436	9DCBA9E85812FD96
0EE5D621134D182B	AFC0F6735C067564
2A6DB8F309896F48	8485842F674C3F93
1DE8E4DC250936DB	1738CEB947F9DDA0
7FF076DB040B657C	07510474271058F4
0833B1F779E8D355	9BA1C27A6D0D302B
248AAFFA0D2758D4	3D810BBE436DD6EC
1238CD0B4F1D9685	C9996DA01EE4C98B
1F851E575C8AF1EB	7A3A8E1B1F99E46F
2610AAC4103B3D62	F2C590DBD749B134
213AF54125BB8F72	1826ADF856AD4382
3CC698B812547734	ED118D0B8B7F9420
675E00524C673C82	B298758254D6F249
0DB5A1FE0F9E31BA	FF7BE5FFA5A153A3
5AD2B2583EBADDFD	F388C3AE191D60C5
5E442D374DF4A63A	02C9385C4C2262E1
78CD51D16FB6AE4C	D342A641AF72D9D4
426D38E010B11C32	07ED3DCD3B93EA3A
5BB21F2D0B1CF263	990A032592E8B6E8
196D47485562D502	E7173FBC6BC4869C
4B8EA21901343E10	38E3C61766304510
0CD68D0E59C698B7	10AC1C18EB906438
7D54446C27584EBC	97F9EA7BD90610BD
16992CD2224D9A95	E4F40FD718AE45A3
14DFBDCB6D256521	CAB7406F1E48AACE
32129182610F077C	B9DCDE0B60579E90
21B48FAC5544767D	EE5608BEE76E579D
01BF344730012236	A9189F2026480FA8
1A6D1FD97245ED1C	3712DD93B3F54C7C
4CD203E06FFC8E86	B1E144C4E74C44B1
2DF138DA37CB87C6	2E7AEE7809761D5A
133EF4C80A388057	3DE164ED4A2648C6
0371D4FF2656B31D	0F3572D8E14EDE34
060948954B7C314B	7FC87C0E6A32E782
468859A421B54229	11416EC8A8D79050
030AA3092F55A56E	9544A1B48EE00C80
1FDFF10927499638	3B9634903D3FA195
50254AAE404A0E9D	01FCA4EBCBF67CEA
3E0586645CBA2F0B	9B90832F4CDB385E
4366AABC09533F36	996DE16DA2382901
385AF7025C0EC135	8B595FF24088A12F
4CAEADCA6013D01A	E330DF7E30DE30D4
34C38C3D122C13DB	E7EB8002160577C6
0BCB982F63743BB5	1EB2A34B073E37B3
63FC1B153C5632FB	D8B43AF10B5E0E6E
3F2D1BAF2A749E90	884FB321C6B34151
4E5615B675AB87E7	73D0D106C5D3230E
50678B0B3DD9A86A	BAD09F12CBC4D2ED
1CBFE6DF7ACE4937	B96AFBED74AA695E
7D28F8DD0CEAB55D	99FB5B08A53226E6
0528F34B437CC392	F6A0B8535159BAA0
340BC8DB71AFBC8E	ADA97F6711B845CB
488448F164D0EB68	7021422E6FEAC3AC
500F2C8D1436060B	E0A7C1905AF06100
66C6C68A0414C2BD	ECDB3E86822106F8
6EFD0862263192DB	77D25F5FBA50815D
00A07B742808FCFE	2D1C2EF364654473
66199C3A1B5FD834	8C3DA6E5F1AB525B
316B4BF67B481CD2	B59BA578B3E07BFE
3B5C5E392D2E0EA1	B2B49929373C762A
2AC2833348339F33	36AA191593AF2C19
3518F24D78CBB876	289B8698F0FE2B2B
06BB88EF021B065D	AB21E8A29C45A929
3C3EC4BF3CE6F67F	9E68D1FB5FBFE144
5F412B152F73A08E	FD3FA901A4252B60
