Texto ClaroF	Texto Cifrado||38CE98140362662F312299655684CF16 

2937D9BA11B7577A	2192D827B3C2875C
1BD013AC79BB8F77	E014D7CA8B74C1C9
08C80C1105903498	3A60B4275D72571A
3E6CEA0260774952	F6F8B848CC1A048E
376ED7F84E24F736	2A00CE6B9CE814EE
5CE2224E023A5E86	5C5383B657F1A11F
4613B08E36AC5E93	B87440B9E931CE2F
6E7520EF4BC56390	878DBE0522BFD69D
0C0BA9CD51B8D7E8	CA6815A8359D4B2F
3E66EA42569DB30F	8ED2A04DC05B933A
0B56CA366EF5A50A	2F36AF562D12C864
41266C6F41990CD3	CA0739CC27169A17
2719124A5EFFCC53	FABF92237AB64841
6BBF8DDE6CFB2115	71379A7B7EF8FFDD
5B39219803CCB0F2	2F5667C1C0C8274D
7374E1D07E9559E7	AD34D7AA93878A9C
7F418D9D28B87FB0	8552CDEE2822DA17
68C710B265194BDB	F87FB18FD6FBA19A
5FC34AB70E5E657F	11B7C11DC2C1827C
57597C3733EA2BAE	F7AABC56945877E0
52D9C72257A0B3AC	93F85B9F7143CBAB
77740E25644CDC67	F110D3DBF7B7AB9C
721A21A211964D34	702BD6C3791BC559
22A699F167C4AEFC	D8EBBEB8FD76409B
21BC579D541C15B8	B09B91D67C1D2CA6
7FD60E2B3E3C6A9E	4588FA4B70FFC797
707BCAFD4F4BE1BC	364EF89A69EEF948
7ED1264F552A4D94	FCEA34D18FB2B5D7
4C4B5B3A675263F7	FB2D4EB48C1FD93A
5221221F7D474B58	63924A2BAF76E9EE
53A3BEA9233A7425	FD1BCD13EB1BF54C
529F3B3453E7FD4C	D5EFF8FC0D191299
23A6B39D155A1AB4	5D9393DABE3BCBD6
4E8F2A5F1926EB44	C6D7DF7FC03B31C0
4A1FCA426D17D912	51E8294A53C67678
38AC64B23E06FF2F	F8FED276467C4872
3D5B867943D99167	CF531D975AFB1EEE
00D923FE2FC9F921	006911042F652DA7
7502FE0917743CE3	76AAD6D7EC7CB06C
5049671C03108872	1C2F5E891C289C2F
326DF5F0512D796D	D397022897AAC090
007F0CBE151D8E33	3E783AC6B18EEF89
4762C119247374EC	8D8BCAC09D60A15C
180144A67B41FA99	0AAC889BA1170CB4
28AB920718001E6D	337113E7F9BB2C2D
2FCD926A614785AA	E42241F50E0267E8
1E988DCB31851A1E	B90AB2A7FC47E53C
1975C0F801CFE6D7	10304169CF172CCD
783C2E2E36FC0BAD	F0E2BF3C255B5C8C
5D62A70E77C5B807	055A61B9EBBC85AB
55B510FF626F014E	AF221AC9984F0FE9
65BEDA5E54F28581	D895CFA3E6EE2CDB
7E1B03B81F9165B6	068DE0FF880E33A6
02AC9FEB1336FEAC	E159848077DC8312
7F89D80E32C7C08C	30D716B0DC58D453
5832415F4B61F135	5AFBF5918BF02532
0B22F53D24127D81	CA607242077C0257
39EDB2A7246C0FA7	F3978FEFC9E12A0F
3277AF9F4FAB099B	0DB9BC8A4168D257
6603C7F9023DE0C2	65B17373D8A147CA
2C6EE1B423A40736	E319EFA7E1B16B5C
65D57C8122E12D62	095623365AA7FD67
6D6A8ED16EC67375	9C7B4A5107D3C68C
26C63F24215B685F	1C40FC9139882B24
78214614508008A9	23C00CC64BF6356F
05B8B889225B2D4E	A01FACF3792AAF92
0FFB6D8143D23859	A276C5C8878A8779
1E717DD82CFCFF85	E5D2254984FB123C
15EB8BD61B2999D8	6C1E20CEBBDE96B6
483341D61D276DA2	FC8376C95AAF8D5D
078EB5A22A36A28E	18717D928411815A
68EA2E486684AEC7	0C1D55E974CB3059
10EEBF662A57CA39	23601C3C1B83D160
699D79E661AE2135	13D86098ED330BE3
6F0650AC079A8526	833E7F9F267C2E45
319B85B05965FF41	7039E8A7BA1CDF2F
3759324140F265CA	D50E04ABED5D0B14
69F8D2154EA8970D	346884DA4BC5A1B7
1E54FED35E25DE33	FF77B85B49D7800C
081F168F31020A73	8B5BE479C6AE1B71
