Texto ClaroF	Texto Cifrado||79B649B12EA041E41B45F7A60E85C147 

6F5423C37CF8104E	CFE4EAB3DF843E74
01F6B0FB6ADD2FBE	21617882EC3270B4
5F6999C10DED7ED7	3B0EFC2C131B7582
63225C6564E01DBB	588B4D29A952351F
35C013BA554F33E7	4225B1BC22BA0AAE
42D8AE721FA4E0A7	291E151A85615721
0199042C64E0E585	F6B4B85B69270DD0
68FCB280262B2759	A0D837CD2A756E4E
5B2457A22EF57B6D	EF596FBABA42125E
767A4930565B2B14	91238E3067862C0B
7B695A5641AA0366	F683C74742AAF5FD
00C53F3815B975ED	4AB889EC549E8642
42ED25BF5F4940EC	E53D8EFE590D837B
424576D35E7C38A2	EEA3B8F6FB1CA349
2D6A44241B9FAEC7	D285661F41D91900
108B98FC3CE8D0E0	B4702E3F61AF0FB6
58E9415D39C26E45	4B33DE0670FA5DD3
0BD591A3724C6A66	C8A342DC49B6AD14
76DD89294A581FB6	3E2267C87B9B60D8
5F8A0BDB601087DD	14E00C10358E84A5
5D47EF701DB8D1E8	1E851B53CE0BA5E3
50DCE59656650453	76A68081D9AFF51A
01FF117510D31959	08CAA8721F1163C0
13252AB06D1592A1	856FBC92B06D5C47
234DBFFA4576C831	25953508FE5E5439
79512C974046ABBA	0A4E83FAA6BAAB4D
5FB4614D3B603751	2609ADA2EB782F7A
29CFC54B07A1D45F	A2A7568A1EA1205D
117DACE351E1740D	6877D7A60787176A
288A2B7A072C6B61	9050EB5E2500EB91
753DB0F4252C9F4E	956B323C76974999
148ECCF32B317010	DEEB3B0F8CD77751
3AB440970FFC979D	3320350E9BFCBC4B
1045CC9E567CA16A	34A62A3BFDDC6BA4
1049628241E24D28	57B6F11FB3FA68A9
70379EE253A040FC	E3883F111B74943F
3E0A8B48263E43CA	74479B18862587B2
41D496636BDD5F58	4E3C61616F65D256
129EC1BB74C0E589	F81975CE918C1D7D
241DC1411D7AA4ED	E97C526D3EE41677
5EE1D2B93BD1A059	3B896E6E564FDA74
3F7651BD70F06FD7	F533BD905CB628B3
393EC62E4845135E	61D85F267195C9F7
2EFAA56349801EAD	F5DE93A1448DA7B5
7A5E158D36D91ABE	7C5E80EC20AC644B
676ACC13147C2870	C3FA1DD240EFF9E8
6342DB913A5D3F80	5AB0AEF96A40C8BA
3FF40A6F2ED91E36	DA43BA9A01866844
304E8341728B392D	B0EE790BE39088CA
1256F41B0AB42205	B53D0766330168A0
38257BC024DF970C	63A50FE86AC82D4D
