Texto ClaroF	Texto Cifrado||471257F4054C78A05F83531726C43BFE 

1D3EB4947FC16F8B	74D9F29014198B57
74825033175F8007	831E2537B24C9557
7ECE578D1CD62B05	2819DC8F2C4B6BB2
30A2640D7556AA6C	B7A85B6F18AE4C62
0CCED4A35EEA1FE6	CDA4DAF7DE2654C8
5CD465B87C6242A4	7B551A94A428CF6C
17055CC8610E5A46	B7EC21A105F3C5BC
7548DB71023F13DF	437444B361F311E7
7B31969F7497DFE8	05DFCEE9B3FC1358
1EED342566FA78FF	D9F98D6011B39F66
461DE22A53EB575C	B62CB2250E4B5692
7FB4840E2449F4A2	CF1288183526FA1A
735BCA4A0F3DFB71	059CDC9F4BB2652E
2E46BF8826C89174	9E6098BA796C1D7B
39C56A904FD73191	E70652F2B700519A
38F74F8A74870A3D	CEC4184D7E8C235E
4DB1668F39C45E22	816ADCED7D2143C6
0B0027CF37358CAD	73002976EC2400BE
1CA6CE2C0B29B966	720FE94CC5BBF900
604ADD4353048B18	E1CE6EA024C20555
4F47FF3C7FC5E4CD	A70F5CC03E896457
19309044434F6D47	B419CFB222637A6E
138F72D72EBC8B49	0C7CC853D9904354
5C5C7D973C3973E0	3453B9E99A8C8FA8
5FE696031B82D025	A09432BE9947DF38
292F3B3F5BDABA38	1FB3C2331C7051DC
74F7E1A43DFF11FA	71016EAC88EDA4BB
34F553E256563597	93FC885ADC72307B
35D878C916E1EFBD	3C042B78043BE2BC
4B426D0776040D2A	06D6A285C51DA375
03FC7CEE356DEF4D	4CA04AC61FE6F4A9
4479C3A2161AE3CD	5DE94A9E019FA2BF
3F61B31127334199	B90C8B8BB2B7F072
1617B7EA6F2B6EFA	5286331ACD2EB4EC
0C83181B72A39B07	75F9A1F7F3FBFB41
5317235D1412D949	92AFD449A5513C4E
617751EA60A30BA3	093F596FD3A31B89
70512BE5611900FE	1FF889A92818EF8C
3090557F53DD1DC1	A1AC186FC253F2AF
59CC94EA0644BCB5	642920998FD500AC
0AC1124A0997BDCA	4D9947E3058DD4B0
492D1DB130F874FF	E88F92CC71AC40C5
07C92A772802EE9F	0FC0E41FF92E7A60
58801D3E42FFFED6	E9C1628B9573DF67
34B3B5F7026F8629	00A767AED45DE1D4
67D0EEFE45FA9AF1	ADC34DD7A26B3C6C
47D2681B46B0E973	991BDBFE34504710
08AEA14700DE40C5	D75F55E38E6F893B
7F6E45F420B2D788	69F5D45DFD9113D9
3D64327D7D2ECC07	4910E521BC0404E1
0B551FC6019905FA	0580A8AE345EC4CD
655760E74B9B11AB	541009D4C73BE141
31A518544DE04C42	0060BB412BB0BE47
40AEA8FF0AD91E86	98C642FE01696EDB
3462F4FA4CC163F4	32C5BE20C039CF15
2C894F8A6AC503DD	1FC598762CA8A476
2C80D8EE3F220815	0FAFA9580FFD7AE3
5340BB143EBA48BF	3C46268D0FF8BF52
37FE13C509C4073B	7931E74ED9097503
24B6B77F57C905AD	625EC4EE03F7B322
4E93CDE149B19714	50ECAA82F1D41572
2A35C7D830D34B8E	C7D48F47C895FA8D
000570AD65286DDD	92B8DF09F5E38770
4144FC0D17FFDAF5	B87020AAB4A555CC
1E8017226B6EC8D2	1B7F609BF4DE7A63
36428A184A78497C	37DBA0826E25A18A
1F2092161356F251	E808B3525BA116F5
313EADC20A01B4D0	7BC6B9FD32B4656C
7605C8D175C34DDF	2E4D2A4316AB3FCA
692DA7DF3468576B	C3154CBA11B09612
2E434CAE445F4B3C	97420A6612037C75
4C44733521E7C3B1	F00E8C08E25669B9
76E0AADA17F10B2F	ECE839CFA3234972
521546F072E460A9	BEB56A33AD71538D
6F86322C53481FE7	FC93A887F026406C
2426A168642EC562	A81C212CEF42A797
3AA0D85015D98A42	4FE1936DB0A0569A
7D03FE421129DF2D	7008D3FD553E3CF9
53FB0C2806DB412B	68528F11CEFBDDC6
249371914C04F959	0F84B08D2937097C
5A8E690C3B92C146	396BC10D44A6846D
1FCEF9384D4BDBD8	17B490D395ED6627
2F4E698D44F3C03E	A15FDE0FA6CD195F
5ED249CF3FEBE5AB	FB8A83DCEF36E309
18335E5654766C83	93584872E44D52E0
2ACE37C748AFFFC5	5E330D6BE01B7A4F
1AC103CB75E01225	D4C08C7669FE6E5E
49C77798467CC1FF	97B18A8B0B6FF9D0
28A4708043D5F858	89BBF7873B7999D5
14A37C33792F02DA	D91485E4233BB1C1
7D64745D4E13C5FB	411D133CD4E0F4B0
742B09C8358F650D	E9618F9291997213
593353F338CCA445	5CFDB06B3693FEA7
0334CB257F04EBC7	264EB93FA6234FFF
1C1396F74A1C4087	232C1777BF170795
04D0851415D0E684	1AA2E4F1ACC3962C
45CDEF4C53198A61	D3ECAE3914233A9B
31CC10E64C698594	12719B9B5DCD56DD
23C0DEBD4B5F5CA1	36FA66987DC3B095
61BA74AF1842BF49	DD056FCB918D8088
461C5E1070639065	913C1F89E7DC5E84
189D10886FA85D57	5D2B5286509F7F31
16883406480F8178	404894F4DA59ADD7
71FD123D1DB89D42	115319A21A2947E9
435C674C6781D120	F57B0B5072786A66
7BC8C0F638F495F7	822C6691C1F45956
41A1A8575C33096A	39A825B3617E556A
1AAF3D7066EA91BF	D2C9F3213763F429
3206C7625B0C0C96	38BB4581705B0ECD
740E7A8C628FB8DA	ECB89BEDF266BD76
49B122C30C615601	EBC217B1C8E069F7
4A5562002B951420	195B976C90B5D46B
485C573A2662C5F3	B8375D81BE74D0EA
1EB1E8353203FF51	D06794C95828E8D2
246F387E01E5EAE2	E4A6FDF608AA2117
1D9F9C6759D53D62	321157EBD25A0440
3EB11B015D63FECE	2DAFBFC6370DCEC2
4FEDB6487F5A59F6	784F25DC57CFF464
04C866CC00D4DD88	D307DF85CD37462B
171C0C2532615CFD	D28B7F1A0802888F
161FFFE20ED859C7	B27B1C6C0AB7F4DA
1DEE1F6E7C517E1B	3D7BEA4E409406BB
4A2E5E602A3616AC	6EAED9E496E526B3
450A8BDA3763B89F	B4DBD1B2099BF876
73EDEB2108E7FEFD	EB0C7306BFFDEF5B
3715989C6AD64604	2CEDC5F538276DE8
198EE76874FA69F3	A70C46CF33F308AE
64420C842C43E188	2BC7C91D2666BDFF
1C8BBE6C1A82B318	6E32EA097F70F643
7ABBFA404B2ABEB3	9235B01DE5115302
634E005215F73A6D	7AA578E35196AE8B
1A1CD55F5AFC5D5D	21EC76B7F4B72EA1
6E55B3553C70CA0A	41EEF8FCF2F7EDB1
10E075860043B912	E158C33D27947118
5E2B4CE06CC4366C	6F47E1A2E00483D3
45D1243D25A2449A	AA67B9408718F0C0
4045EDC32EFCBE2C	3D744183F4BFCC9D
532952CD3DFB3B62	50F23C41E6C0AA9F
38F7BEB8110A3F40	361AF84F4E1FF90F
37BE8B7D3EB7D822	20E1482B33FC2A3E
17CEC05906B61F45	2AEABD79F5CCABC1
1EBEEE7409191171	99259379F626007D
4CC81661643561A8	CD32A119D920111B
6C9E8FFD1DFF62C1	09A0BBC59745DE86
69AC7C493B13D2D2	8FCE5AF294424B1B
1275F74B7EBE6664	39C52D4583774B55
0634703E5CB4F9A0	E6F412FEC2C9CC75
6D70A6EC7EDF0815	8EC7CF56CAA48315
648BDBC51A099615	BE824F9F51B3603A
6B5C4A0D7801D28B	437695E1D79F209B
3FA5E13A2365C77B	FA3A0985D92A2B8E
6F0B6E64577CA030	B26B8D2052455BD9
36F8DC2F0C3FADDB	DBCD406D5830F39B
28AF0B257C04BF00	3CFDECFA59002E61
1B97D89C0E0DF7EB	A9A027FBA0514639
370F6C82559CE70B	8BDD643A720B5366
3004AF160382E5FB	0B9716F5999D8C77
06C8C38A669D9C80	C3812FD3416C5937
758DCC213054C6D2	F9AB676A739F867F
0DC91DC80EC23C8A	A7D63A1BC5ABE767
72148F9723DF3D04	B3907B98090B8320
151EE4021F0B4A23	A1DFCF0B354F7B98
1E304FC175C41762	D6831615143A8669
1CDB5F55064FD440	2AD180A4F3D94349
62F7B8FC7591DB26	1DF812EE1A2ACCEB
3ACAD8175B30EC28	463A57AB6ADFFE40
68E064DD63FE1EF5	F58E1B5A69CE5071
40A29A1C7333C56A	A46621983FD36036
4BE5ED3C643A2511	CC916B42D3B449A5
2557B27F2087C300	1CB8C074D6DD257B
311345AF6843FD54	F6BB0862D9FF4CC1
47ACCB462155856D	2D5E406FF833539B
75AAC8331F3DC89F	F7888D8B828A7588
113E4EBF11A3E671	DC9097BC9190058A
1F6E0DC372498D53	9362FCE501BF916F
3ADD7EC323AD5266	8147D03B655EB7B2
47FCB8D620CB0E86	328FD25590EA9D7F
7326903B68C74C8C	5111E6301F6B6F5D
7472B11115C70ED1	89FA2DA911CA967F
3F9DC6820F53A16F	D39E26E9D524ED9F
3B8B8645451C3A8D	B87C753BE28D9221
4048226D3FCC4313	DAE811BD9A4CDC2D
7B47B51D20C3C226	672F8C571FAA691D
13FF5D986259B069	7862901D3C0ABDB8
6E4CEFF07D1CAE22	790933CE4AF7560E
65EC7A5908549D56	D54BA22AF32594B1
6B257D5F6A4A1EED	56D095547B4886DF
2834901F12E1F7D8	E9FFBCDA6C3E2798
31568F9729ED1BCF	5CB1EFA923D00B8D
0DBCC88A6511E311	A0C99B00DDE88289
7952A4ED20CA01D5	64346B51AA0E344A
2E3E57C47EF41C93	507A06B01FCE4EE0
4C80380275DD328A	048A86E5A1DE8456
0D213E7A018CC252	D263DE27D999FADA
402996496A49B387	2BDC116169BEB23B
0CA99A9552E3B2B1	905ED3F0B3859FD4
62E8ACFA19B483D1	B694212ACA2AA624
1A3A1B865CE507DD	008810122D58A95F
40676DD0465A93B8	8FBE4108A42B8B08
6498391D45CDD283	A528644920890908
4BB7BA420B2569E4	A14970886B79A038
454AFD733E45AC8F	35799E1B8B21D88C
50440039206AC75A	459742969433FD84
4245F6567F2FAA17	7074259AC15998E5
12480D3D385D292B	2FC736E6F6A72D88
6C39E2F54C637A55	4CB6802D3592BE53
16F489A11077B4CD	FCE745A5A8BA18DF
22FF072D15302D4E	4F867906A847AB5C
0DEE66C01E9BCE65	984B880917DA18C0
070B589679E4E376	FB72A6561B7D2CBE
2211967F30AF7D52	BC4EC51482FEA60E
514CAB76008CF9AD	25C20D45603CE79E
275BCD237BF8C904	3CDE61845AD06864
0A5565326C66BAEA	19A50172D6052FFF
4C79903F40ED3F52	DA0AA6C496E84D70
17D841CB76C782A7	C64F0C7C02CBAB2A
2452DEDD3CA591CC	F0DAB8FC091D5373
1A07072F4368AC02	B5618ADE0DD2F836
0CF4D9E11F0C496C	99C6D15B06A89AC7
5FA86160279116B0	630AB528E0413181
2668911B1B0E9750	6F01C1C283A8B590
5AF013104773AE14	B75E1BF9F40359DC
7BA9C7B1477574E4	D7F7349FCCD13BE1
704D4962620CFA87	E047DDB299C4FE3E
4213E75B28BA2941	54EAEE6F9D35EA9F
55EA7F4A164AFF57	70A9643864FBCBD0
15C1B430601CC678	D48955C657CDAD1C
012A219475027C24	8E2184FCBBF8906B
76245B7F4CF32B71	7100175497F29153
70A92F2E7358AECA	D693812F0461F3B2
433B8AEF7A1E7364	3CEC9A0157E1B3B7
6529E8DE22777AB5	0D6EAC3DDD5EFD03
521912C06C1E255B	5C256E3A5E41DB86
2F26B0D115228186	5EBCB898B323508A
0C658F415F9FFAC2	C0F1975A7D1E0BDE
0008079A0F2B0F7A	916C1F5681D45CFA
54051A5D1B05FAC3	9C70F28B52A3CED4
259226111E01395C	C2B402DCE4F259B2
625CD6673D0036A4	2D72DEA31234EE8C
590368456EB2B7AA	8F1955EFC62832AC
173832AD6A8707C3	06D51833B9A9AAD7
470EC9D81BE5A85A	0069243DFA583668
028FBB052A3F4693	287E2EC1341B00BC
203272904FFF5C73	CF252D1B61B743E8
060EAB0D2CFFE596	E0A244E467B73785
5439F1EE283A6B75	5E80937FBAC7321B
1364E2F544704CC5	7F43FC31A87684D7
28C03C9D64CB7C51	C17A7C2969166BEB
6B4EDD8906B28469	7EA049EE869B9086
32130CEE00B5F6F1	FBE1ACE7A9DA4533
2A67489462CE024B	A4FD30A62A5CD4F6
42F8BC9A582644CF	7A1F6D448BE03B91
386F9F3F283FFE0B	445AD72F97858263
013F98D2764A03A1	B90CC0B501D1C9AB
75347BB248A51F3B	A55DEE7B25BD98BD
50A57FBF2165FDF6	355E68336FF9168A
2F04329B3C96763A	FC89AAD1D90E2433
3A2BF8E91CE2A6D5	E24161054B1AA5B4
6436F8C35505FD9B	C7F2E73FEA9E7263
7C4CF6B820D9E9C9	6A3FC7A041F8A03E
42839BF84E74D8E5	07B747B5A68DD217
594BCAA07EE3FC2C	7A56C270B5DBB05B
29C0EDC9393B3C89	3463B20B987D3E16
600363B97E8837ED	9A6E40F693DDAECA
210FE9811BAB251C	DF1FD02A1D154B47
01115F751B91FADF	C0E3D87F39A2CEDD
0CED549D314E160C	9F8E32BE7FB1951F
7D89871D5005C14E	2C29789610656B48
29D610ED24F14D10	7D51FE222A75D613
5DFA686262DB2A21	DBAF7091B1182C10
22AB0F3B0C74FC45	C4295873F9128AEF
545E1C666E9A97CF	8906A498527A8BB3
6764CFC30B84403D	BAAA485689E3D475
17956AB3529019DD	9ECA09EFAD2917BF
72922683591E9D38	9A51768F70A32935
68E3F53D4DF9AD97	360445759181F8F7
42F3BC7F0FDC5830	32030CFB97B74846
4B21BF72149FFBE7	7155DB2D65C2B7BD
135305452F7EFEEC	07CF53CB8CFBF3CB
3A9250505BD6D23A	30EC6FA6E4F90D8D
74840CF0096D9C53	F462FB9A22BBC691
7B3211FA143A7346	B8583E8BB348F1B7
0966030A08518A58	789300A1DD437DD6
21519BAC74C34A4A	AAA04611E20C800D
41427C2973E58937	E0DEC9A6B398259A
6293B5524F654D0D	39D0025C5B7C05DF
03A5B934752206CA	864485F5426834AE
0CEBF3DA56D673D6	566348BF6F30BF12
194F13241671AD77	35D32183573ED2E8
01336B2456BF0919	512986E20AF652B2
17EE74CD28364B01	22835B138911D15E
04764347703AEC9A	50F35B0A1912EE3C
2C83AC067892D4BE	FC688EEC0A9E9DC5
6FCD43C90D1D7A77	25D5B2F06C3EC1A2
0A53215B57B2E2A8	49F3F2FB97AD188E
